sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_P,135,57.2769,30,20,5164.439268,0.398155128,26.45734537,13595.57349
OAT_P,135,56.1669,30,20,5161.212947,0.397045188,26.4414071,13590.94668
OAT_P,135,55.209,30,20,5158.42872,0.396087339,26.42765281,13586.95387
OAT_P,135,40.2012,30,20,5114.807123,0.381080341,26.21215886,13524.3969
OAT_P,135,55.4334,30,20,5159.08096,0.396311727,26.43087493,13587.88924
OAT_P,135,47.6788,30,20,5136.541478,0.388557541,26.3195282,13555.56576
OAT_P,135,51.3273,30,20,5147.14619,0.392205846,26.37191627,13570.77379
OAT_P,135,45.8659,30,20,5131.272112,0.386744738,26.29349714,13548.00906
OAT_P,135,58.2957,30,20,5167.400507,0.399173874,26.47197411,13599.82015
OAT_P,135,45.5877,30,20,5130.463497,0.386466553,26.28950252,13546.84944
OAT_P,135,54.954,30,20,5157.687538,0.395832352,26.42399132,13585.89096
OAT_P,135,51.0759,30,20,5146.415472,0.39195446,26.36830647,13569.72588
OAT_P,135,50.6404,30,20,5145.14965,0.391518983,26.36205321,13567.91059
OAT_P,135,52.405,30,20,5150.278627,0.393283489,26.38739075,13575.26597
OAT_P,135,51.0083,30,20,5146.218986,0.391886863,26.36733581,13569.44411
OAT_P,135,47.8782,30,20,5137.121053,0.388756931,26.32239134,13556.39692
OAT_P,135,46.7948,30,20,5133.972048,0.387673588,26.30683502,13551.88099
OAT_P,135,46.9659,30,20,5134.469366,0.387844679,26.30929181,13552.59418
OAT_P,135,44.6494,30,20,5127.736239,0.385528303,26.27602966,13542.93832
OAT_P,135,52.2466,30,20,5149.818223,0.393125097,26.38511631,13574.60571
OAT_P,135,58.311,30,20,5167.444977,0.399189173,26.4721938,13599.88393
OAT_P,135,40.0096,30,20,5114.250219,0.380888751,26.20940771,13523.59826
OAT_P,135,49.1184,30,20,5140.725812,0.389997064,26.34019912,13561.56644
OAT_P,135,59.8865,30,20,5172.024318,0.400764589,26.49481609,13606.45108
OAT_P,135,53.5352,30,20,5153.563661,0.394413628,26.40361906,13579.97698
OAT_P,135,53.0464,30,20,5152.142917,0.393924854,26.39660048,13577.93951
OAT_P,135,41.562,30,20,5118.762417,0.382441068,26.23169831,13530.06912
OAT_P,135,41.3474,30,20,5118.138662,0.382226479,26.22861691,13529.17461
OAT_P,135,43.5584,30,20,5124.565144,0.384437361,26.26036421,13538.39071
OAT_P,135,52.9719,30,20,5151.926376,0.393850358,26.39553075,13577.62897
OAT_P,135,50.9369,30,20,5146.011455,0.391815467,26.3663106,13569.14649
OAT_P,135,40.8996,30,20,5116.837089,0.381778703,26.22218704,13527.30804
OAT_P,135,47.5,30,20,5136.021779,0.388378751,26.31696085,13554.82047
OAT_P,135,41.8502,30,20,5119.600098,0.382729253,26.23583652,13531.27043
OAT_P,135,47.3265,30,20,5135.517484,0.38820526,26.3144696,13554.09727
OAT_P,135,59.9486,30,20,5172.204817,0.400826686,26.49570777,13606.70993
OAT_P,135,42.271,30,20,5120.823193,0.38315003,26.2418787,13533.02445
OAT_P,135,54.2131,30,20,5155.534042,0.395091492,26.41335289,13582.80266
OAT_P,135,43.9348,30,20,5125.659186,0.384813741,26.26576886,13539.95966
OAT_P,135,58.0488,30,20,5166.682868,0.398926987,26.46842892,13598.791
OAT_P,135,58.2265,30,20,5167.19937,0.399104678,26.47098048,13599.53171
OAT_P,135,47.1262,30,20,5134.935294,0.388004971,26.31159353,13553.26236
OAT_P,135,47.7585,30,20,5136.773134,0.388637237,26.3206726,13555.89797
OAT_P,135,48.1843,30,20,5138.010762,0.389063014,26.32678657,13557.67284
OAT_P,135,47.0748,30,20,5134.785895,0.387953573,26.31085549,13553.04811
OAT_P,135,50.737,30,20,5145.430427,0.391615578,26.36344027,13568.31325
OAT_P,135,42.732,30,20,5122.163134,0.383611006,26.2484981,13534.94603
OAT_P,135,45.2467,30,20,5129.472348,0.386125571,26.28460617,13545.42805
OAT_P,135,56.9067,30,20,5163.363246,0.397784948,26.45202974,13594.03039
OAT_P,135,58.3945,30,20,5167.687678,0.399272669,26.47339276,13600.23198
OAT_P,135,52.9069,30,20,5151.737447,0.393785362,26.39459743,13577.35803
OAT_P,135,58.9448,30,20,5169.287177,0.399822939,26.48129441,13602.52579
OAT_P,135,47.4593,30,20,5135.90348,0.388338053,26.31637644,13554.65082
OAT_P,135,54.0193,30,20,5154.970744,0.394897702,26.41057015,13581.99485
OAT_P,135,52.5707,30,20,5150.76025,0.39344918,26.38977,13575.95665
OAT_P,135,53.5878,30,20,5153.716548,0.394466225,26.40437433,13580.19623
OAT_P,135,48.4386,30,20,5138.749909,0.389317301,26.33043801,13558.73283
OAT_P,135,44.8196,30,20,5128.230941,0.385698494,26.27847353,13543.64777
OAT_P,135,55.1147,30,20,5158.154628,0.395993044,26.42629878,13586.5608
OAT_P,135,52.3387,30,20,5150.08592,0.393217192,26.38643876,13574.98961
