sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,130.4649,50.0,35.0,20.0,5095.591681282347,0.38761232933371853,22.545983650561663,13555.07462178453
OAT_N,140.1798,50.0,35.0,20.0,5157.462074459373,0.4018786621006146,23.99374387834628,13605.463330867919
OAT_N,123.3821,50.0,35.0,20.0,5050.484102121036,0.3772112359903622,21.4904713816394,13518.337944238086
OAT_N,120.2072,50.0,35.0,20.0,5030.264407497546,0.3725488946485451,21.017332806132355,13501.870547510498
OAT_N,137.3261,50.0,35.0,20.0,5139.2879768351795,0.3976880030287877,23.56847204209177,13590.66191663707
OAT_N,143.9099,50.0,35.0,20.0,5181.217620434074,0.40735631476341083,24.549620976994685,13624.810408424246
OAT_N,133.375,50.0,35.0,20.0,5114.124968417002,0.3918858118178351,22.979660480881687,13570.168568433857
OAT_N,145.3187,50.0,35.0,20.0,5190.189715865607,0.40942513787039125,24.75956699897154,13632.117494792268
OAT_N,144.1353,50.0,35.0,20.0,5182.653104754252,0.407687314712526,24.583211148313243,13625.979500749176
OAT_N,137.4344,50.0,35.0,20.0,5139.977697118565,0.3978470416023865,23.58461141899416,13591.223641121487
OAT_N,143.8762,50.0,35.0,20.0,5181.002998332965,0.4073068263060676,24.544598844015823,13624.635615117457
OAT_N,124.0442,50.0,35.0,20.0,5054.700757703954,0.37818352998463517,21.589140647078693,13521.772088108242
OAT_N,139.3595,50.0,35.0,20.0,5152.237905036824,0.4006740513718696,23.871498902602656,13601.208643937414
OAT_N,136.0149,50.0,35.0,20.0,5130.937457577779,0.3957625055430747,23.37307083254034,13583.861056581893
OAT_N,146.7986,50.0,35.0,20.0,5199.614619350222,0.41159837134286437,24.98010867836077,13639.793358730392
OAT_P,135.0,45.752,35.0,20.0,5112.126741329484,0.3900243516380545,23.16082947738437,13560.890103796597
OAT_P,135.0,50.49,35.0,20.0,5125.898188531486,0.3947620984917462,23.22886145727589,13580.639494558904
OAT_P,135.0,55.6598,35.0,20.0,5140.924703462873,0.39993162227482254,23.30309356568518,13602.188755927202
OAT_P,135.0,46.6675,35.0,20.0,5114.78772906976,0.39093980272386175,23.173974955980974,13564.706179618233
OAT_P,135.0,46.2989,35.0,20.0,5113.716358145604,0.3905712224177683,23.168682303429676,13563.169745376994
